"",Arbitragem
Arbitro:,Pathrice Wallace Corrêa Maia (CBF-1 / RJ)
Arbitro Assistente 1:,Gabriel Conti Viana (CBF-2 / RJ)
Arbitro Assistente 2:,Carlos Henrique Cardoso de Souza (CBF-3 / RJ)
Quarto Arbitro:,Eduardo Cordeiro Guimaraes (CBF-2 / SC)
Assessor:,Fernando Lopes (ASS / SC)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:20Atraso:,,Não Houve Entrada do mandante: 22:29,Atraso:,,Não Houve
Entrada do visitante:,21:20Atraso:,,Não Houve Entrada do visitante: 22:30,Atraso:,,Não Houve
Início 1o Tempo:,21:30 Atraso:,,Não Houve Início do 2o Tempo: 22:33,Atraso:,,Não Houve
Término do 1o Tempo:,22:18 Acréscimo:,,3 min Término do 2o Tempo: 23:23,Acréscimo:,,5 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 2 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Avaí / SC,,,Goiás / GO,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Renan,Renan dos Santos,T(g) P,188424 1 Marcio,Marcio Luiz Silva Lo...,T(g) P,129274
2,Fagner,Fagner Ironi Daponte,T P,298995 2 Sueliton,Sueliton Pereira de ...,T P,171745
3,Fabio,Fabio Pizarro Sanches,T P,186135 4 Alex,Alex Alves Cardoso,T P,300744
4,Ebert Will ...,Ebert Willian Amancio,T P,144059 5 David França,David Franca Oliveir...,T P,150731
5,Luan,Lazaro Luan Zanini S ...,T P,184597 6 Juninho,Evanildo Borges Barb...,T P,182684
6,Edson,Edson Carlos Santos  ...,T P,339594 7 Rossi,Rosicley Pereira da ...,T P,314059
7,Renato,Jose Renato da Silva ...,T P,306019 8 Patrick,Patrick Bezerra do N...,T P,315585
8,Joao Filipe,Joao Filipe Rabelo d ...,T P,293359 10 Leonardo,Leonardo Gamalho de ...,T P,168982
9,Vitor,Vitor da Silva Vieira,T P,535836 11 Leonardo d ...,Leonardo de Souza Sena,T P,352625
10,Marcos,Marcos Vicente dos S ...,T P,156079 22 Felipe,Felipe Francisco Macedo,T P,303256
11,Romulo,Romulo dos Santos de ...,T P,318165 27 Leo Lima,Leonardo Lima da Silva,T P,136729
13,Renato,Renato Palm da Silveira,R P,335513 3 Wesley,Wesley Ladeira Matos,R P,306551
14,Gabriel,Gabriel dos Santos M ...,R P,418797 9 Marcao,Marcos Assis de Santana,R P,185680
15,Luiz,Luiz Gustavo Tavares ...,R P,300856 12 Renan,Renan Brito Soares,R P,155703
16,Judson,Judson Silva Tavares,R P,313767 13 Anderson,Anderson Aparecido S...,R P,178500
17,Hugo,Hugo Gomes dos Santo ...,R P,307741 14 Felipe,Felipe Saturnino Gomes,R P,347608
18,Caio,Caio Cesar da Silva  ...,R P,355781 16 Willian,Willian Osmar de Oli...,R P,334881
19,Jonatas,Jonatas Goncalves Silva,R P,164866 17 Carlos,Carlos Eduardo Ferre...,R P,408134
20,Diego,Diego Jardel Koester,R P,296863 19 Murilo,Murilo Henrique Pere...,R P,304816
21,Cadinho,Jefferson Antonio Lima,R P,374795 20 Jhon,Jhon Cley Jesus Silva,R P,323597
22,Mauricio,Mauricio Kozlinski,R P,296645,,,
23,Tojo,Toshiya Tojo,R P,409143,,,
"",,Comissão Técnica
"",Avaí / SC,Goiás / GO
Técnico:,Claudinei Dos Santos Oliveira  - 16246556,Auxiliar Técnico: Antonio Ribeiro Carvalhaes Junior - 53821920653
Auxiliar Técnico:,Evando Spinasse Camillato - 7045534,Fisioterapeuta: Bruno De Souza Baldo - 3517866601
Médico:,Rodrigo Pires Bolasell - 12644,Preparador Físico: Carlos Fabiano Mazolla Vieira - 15862-G/RS
Preparador Físico:,Jaelson Gonçalves Ortiz  - 13796-G/SC,Técnico: Gilson Kleina - 68039336953
Massagista:,Ademir De Souza Ramos - 8378177,Massagista: Jose Carlos Da Silva Buri - 41891767100
Preparador De GoleiroA:n dré Croda Borges - 3992696,,Treinador De GoleirosM: arcio Antonio Defendi - 6254465850
"",,Médico: Mauro Pereira Machado - 5303
"",,Preparador De GoleiroM:a rcio Antonio Defendi - 062544658-50
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
08:00,1T,9,NR,Vitor da Silva Vieira,,Avaí/SC
+4,2T,7,NR,Jose Renato da Silva Junior,,Avaí/SC
"Ocorrências / ObservaçõesExpulsei aos vinte e sete minutos do segundo tempo o sr. claudinei dos santos oliveira técnico do avaí f.c. que fora de sua área técnica tentouimpedir que o atleta do goiás e.c. no 22, sr. felipe francisco macedo pegasse a bola para realizar um arremesso lateral, fato este que gerouuma confusão entre atletas de ambas as equipes que acabaram por ser expulsos.expulsei aos vinte e nove minutos do segundo tempo o sr. gilson kleina técnico do goiás e.c. que invadiu o campo de jogo para questionardecisões da arbitragem, pedindo a expulsão de um atleta do avaí f.c.Motivo de atraso no início e/ou reinício, e de acréscimos:DEVIDO A PARALISAÇÃO PARA ATENDIMENTOS MÉDICO A ATLETAS LESIONADOS E SUBSTITUIÇÕES.Observações EventuaisNADA HOUVE DE ANORMALRelatório do AssistenteXXXXXXXSubstituiçõesTempo1T/2TEquipeEntrouSaiu37:001TAvaí/SC18 - Caio Cesar da Silva Silve ...10 - Marcos Vicente dos Santos ...19:002TAvaí/SC20 - Diego Jardel Koester9 - Vitor da Silva Vieira27:002TGoiás/GO19 - Murilo Henrique Pereira R ...11 - Leonardo de Souza Sena32:002TGoiás/GO17 - Carlos Eduardo Ferreira d ...7 - Rosicley Pereira da Silva ...34:002TAvaí/SC16 - Judson Silva Tavares8 - Joao Filipe Rabelo da Cos ...38:002TGoiás/GO9 - Marcos Assis de Santana8 - Patrick Bezerra do Nascim ..."
"Ocorrências / ObservaçõesExpulsei aos vinte e sete minutos do segundo tempo o sr. claudinei dos santos oliveira técnico do avaí f.c. que fora de sua área técnica tentouimpedir que o atleta do goiás e.c. no 22, sr. felipe francisco macedo pegasse a bola para realizar um arremesso lateral, fato este que gerouuma confusão entre atletas de ambas as equipes que acabaram por ser expulsos.expulsei aos vinte e nove minutos do segundo tempo o sr. gilson kleina técnico do goiás e.c. que invadiu o campo de jogo para questionardecisões da arbitragem, pedindo a expulsão de um atleta do avaí f.c.Motivo de atraso no início e/ou reinício, e de acréscimos:DEVIDO A PARALISAÇÃO PARA ATENDIMENTOS MÉDICO A ATLETAS LESIONADOS E SUBSTITUIÇÕES.Observações EventuaisNADA HOUVE DE ANORMALRelatório do AssistenteXXXXXXXSubstituiçõesTempo1T/2TEquipeEntrouSaiu37:001TAvaí/SC18 - Caio Cesar da Silva Silve ...10 - Marcos Vicente dos Santos ...19:002TAvaí/SC20 - Diego Jardel Koester9 - Vitor da Silva Vieira27:002TGoiás/GO19 - Murilo Henrique Pereira R ...11 - Leonardo de Souza Sena32:002TGoiás/GO17 - Carlos Eduardo Ferreira d ...7 - Rosicley Pereira da Silva ...34:002TAvaí/SC16 - Judson Silva Tavares8 - Joao Filipe Rabelo da Cos ...38:002TGoiás/GO9 - Marcos Assis de Santana8 - Patrick Bezerra do Nascim ..."
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
DEVIDO A PARALISAÇÃO PARA ATENDIMENTOS MÉDICO A ATLETAS LESIONADOS E SUBSTITUIÇÕES.
"Ocorrências / ObservaçõesExpulsei aos vinte e sete minutos do segundo tempo o sr. claudinei dos santos oliveira técnico do avaí f.c. que fora de sua área técnica tentouimpedir que o atleta do goiás e.c. no 22, sr. felipe francisco macedo pegasse a bola para realizar um arremesso lateral, fato este que gerouuma confusão entre atletas de ambas as equipes que acabaram por ser expulsos.expulsei aos vinte e nove minutos do segundo tempo o sr. gilson kleina técnico do goiás e.c. que invadiu o campo de jogo para questionardecisões da arbitragem, pedindo a expulsão de um atleta do avaí f.c.Motivo de atraso no início e/ou reinício, e de acréscimos:DEVIDO A PARALISAÇÃO PARA ATENDIMENTOS MÉDICO A ATLETAS LESIONADOS E SUBSTITUIÇÕES.Observações EventuaisNADA HOUVE DE ANORMALRelatório do AssistenteXXXXXXXSubstituiçõesTempo1T/2TEquipeEntrouSaiu37:001TAvaí/SC18 - Caio Cesar da Silva Silve ...10 - Marcos Vicente dos Santos ...19:002TAvaí/SC20 - Diego Jardel Koester9 - Vitor da Silva Vieira27:002TGoiás/GO19 - Murilo Henrique Pereira R ...11 - Leonardo de Souza Sena32:002TGoiás/GO17 - Carlos Eduardo Ferreira d ...7 - Rosicley Pereira da Silva ...34:002TAvaí/SC16 - Judson Silva Tavares8 - Joao Filipe Rabelo da Cos ...38:002TGoiás/GO9 - Marcos Assis de Santana8 - Patrick Bezerra do Nascim ..."
Ocorrências / Observações
Expulsei aos vinte e sete minutos do segundo tempo o sr. claudinei dos santos oliveira técnico do avaí f.c. que fora de sua área técnica tentou
"impedir que o atleta do goiás e.c. no 22, sr. felipe francisco macedo pegasse a bola para realizar um arremesso lateral, fato este que gerou"
uma confusão entre atletas de ambas as equipes que acabaram por ser expulsos.
""
expulsei aos vinte e nove minutos do segundo tempo o sr. gilson kleina técnico do goiás e.c. que invadiu o campo de jogo para questionar
"decisões da arbitragem, pedindo a expulsão de um atleta do avaí f.c."
"Ocorrências / ObservaçõesExpulsei aos vinte e sete minutos do segundo tempo o sr. claudinei dos santos oliveira técnico do avaí f.c. que fora de sua área técnica tentouimpedir que o atleta do goiás e.c. no 22, sr. felipe francisco macedo pegasse a bola para realizar um arremesso lateral, fato este que gerouuma confusão entre atletas de ambas as equipes que acabaram por ser expulsos.expulsei aos vinte e nove minutos do segundo tempo o sr. gilson kleina técnico do goiás e.c. que invadiu o campo de jogo para questionardecisões da arbitragem, pedindo a expulsão de um atleta do avaí f.c.Motivo de atraso no início e/ou reinício, e de acréscimos:DEVIDO A PARALISAÇÃO PARA ATENDIMENTOS MÉDICO A ATLETAS LESIONADOS E SUBSTITUIÇÕES.Observações EventuaisNADA HOUVE DE ANORMALRelatório do AssistenteXXXXXXXSubstituiçõesTempo1T/2TEquipeEntrouSaiu37:001TAvaí/SC18 - Caio Cesar da Silva Silve ...10 - Marcos Vicente dos Santos ...19:002TAvaí/SC20 - Diego Jardel Koester9 - Vitor da Silva Vieira27:002TGoiás/GO19 - Murilo Henrique Pereira R ...11 - Leonardo de Souza Sena32:002TGoiás/GO17 - Carlos Eduardo Ferreira d ...7 - Rosicley Pereira da Silva ...34:002TAvaí/SC16 - Judson Silva Tavares8 - Joao Filipe Rabelo da Cos ...38:002TGoiás/GO9 - Marcos Assis de Santana8 - Patrick Bezerra do Nascim ..."
Relatório do Assistente
XXXXXXX
