"",,Arbitragem
Arbitro:,Savio Pereira Sampaio (CBF-1 / DF),
Arbitro Assistente 1:,Jose Reinaldo Nascimento Junior (CBF-1 / DF),
Arbitro Assistente 2:,Leila Naiara Moreira da Cruz (CBF-2 / DF),
Quarto Arbitro:,Diego Almeida Real (CBF-1 / RS),
Assessor:,Alexandre Lourenço Barreto (ASS / RS),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:22Atraso:,,Não Houve Entrada do mandante: 22:31,Atraso:,,Não Houve
Entrada do visitante:,21:23Atraso:,,Não Houve Entrada do visitante: 22:31,Atraso:,,Não Houve
Início 1o Tempo:,21:30 Atraso:,,Não Houve Início do 2o Tempo: 22:32,Atraso:,,Não Houve
Término do 1o Tempo:,22:17 Acréscimo:,,2 min Término do 2o Tempo: 23:21,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 1,,,Resultado Final: 1 X 1,,,
"",,,,Relação de Jogadores,,,
"",,Brasil / RS,,,Atlético / PR,,
No,Apelido,Nome Completo T/R P/A,,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Eduardo,Eduardo Martini T,P,133435 12 Weverton,Weverton Pereira da ...,T P,169050
2,Wender,Wender Almeida Silva T,P,142654 2 Eduardo,Carlos Eduardo Santo...,T P,170077
3,Cirilo,Jeferson Cirilo Mesq ... T,P,140044 3 Vilches,Christian Alberto Vi...,T P,531317
4,Wender,Wender Coelho da Silva T,P,160238 5 Deivid,Deivid Willian da Silva,T P,182609
5,Leandro,Leandro Leite Mateus T,P,146430 10 Marcos Gui ...,Marcos Guilherme de ...,T P,295821
6,Eduardo,Eduardo Schroeder Brock T,P,291997 11 Nikão,Maycon Vinicius Ferr...,T P,306616
7,Felipe,Felipe Garcia Goncalves T,P,311487 18 Walter,Walter Henrique da Silva,T P,179832
8,Fernando,Fernando da Silva Ca ... T,P,129549 39 Jadson,Jadson Alves dos Santos,T P,302192
9,Ramon,Ramon Machado de MacedoT,P,295017 42 Para,Anderson Ferreira da...,T P,393868
10,Diogo,Diogo Ribeiro de Oli ... T,P,160174 44 Thiago Hel ...,Thiago Heleno Henriq...,T P,171788
11,Parana,Marcos dos Santos Ca ... T,P,164863 92 Pablo,Pablo Felipe Teixeira,T P,307317
12,Luiz Carlos,Luiz Carlos Muller R,P,143759 1 Aderbar,Aderbar Melo dos San...,R P,293428
13,Evaldo,Evaldo Silva dos Santos R,P,144098 7 Otavio,Otavio Henrique Pass...,R P,320930
14,Ricardo,Ricardo Oliveira Bie ... R,P,363656 13 Paulo Andre,Paulo Andre Cren Benini,R P,155991
15,Marcio,Marcio Henrique Borg ... R,P,127406 29 Vinicius,Vinicius Goes Barbos...,R P,294769
16,Everton,Everton Cordova Correa R,P,291966 31 Leonardo,Leonardo Pereira,R P,310373
17,Gustavo,Gustavo Saibt Martins R,P,137540 32 Giovanny,Giovanny Bariani Marques,R P,436545
18,Nathan,Nathan Athaydes Camp ... R,P,296334 33 Leonardo,Leonardo Moreira Morais,R P,303922
19,Nena,Ygor da Silva R,P,158841 88 Crysan,Crysan da Cruz Queir...,R P,377015
20,Ronilson,Ronilson Donizetti G ... R,P,171958 99 Andre Lima,Andre Luiz Barretto ...,R P,154497
21,Welder,Welder da Silva Marcal R,P,293010,,,
23,Anderson,Anderson Correa R,P,156218,,,
"",,Comissão Técnica,
"",Brasil / RS,,Atlético / PR
Técnico:,Rogerio Zimmerman - 010892,Técnico:,Paulo Autuori De Mello - 3191111 RJ
Auxiliar Técnico:,Jose Ney Dutra Martins - 9024711633,Auxiliar Técnico:,Bruno Marques Fernandes Pivetti - 435747435
Médico:,Gustavo Dantas Lahm - 037717,Médico:,Murilo Marcondes Ribas - 18565
Preparador Físico:,João F.beschorner - 003889,Preparador Físico:,Marcio Henriques - 2415 GPR
Massagista:,Paulo Sergio G. Teixeira - 241166652,Massagista:,Matheus Elmer Finatti - 165290-F
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
44:00,1T,10,NR,Marcos Guilherme de Almeida Santos Matos,,Atlético/PR
31:00,2T,11,NR,Marcos dos Santos Camargo,,Brasil/RS
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:RETIRADA DE ATLETAS PARA ATENDIMENTO E SUBSTITUIÇÕES.Observações EventuaisINFORMO QUE ANTES DO INICIO DA PARTIDA, NO MOMENTO DA ENTRADA DA EQUIPE MANDANTE, CITO GE BRASIL, FOILANÇADA FUMAÇA COLORIDA DE EXTINTORES POR PESSOAS IDENTIFICADAS COM A CAMISA DO CLUBE MANDANTELOCALIZADOS ENTRE AS PLACAS DE PUBLICIDADE E A LINHA LATERAL DO CAMPO DE JOGO. A FUMAÇA LANÇADA CAIU NOCAMPO DE JOGO E POR CONSEQUÊNCIA AS BOLAS FORAM MANCHADAS PELAS CORES DE FUMAÇA QUE FICARAM NOGRAMADO.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTAtlético/PR29 - Vinicius Goes Barbosa de  ...10 - Marcos Guilherme de Almei ...16:002TBrasil/RS18 - Nathan Athaydes Campos Fe ...9 - Ramon Machado de Macedo17:002TBrasil/RS21 - Welder da Silva Marcal8 - Fernando da Silva Cardozo ...17:002TAtlético/PR32 - Giovanny Bariani Marques11 - Maycon Vinicius Ferreira  ...42:002TAtlético/PR99 - Andre Luiz Barretto Silva ...18 - Walter Henrique da Silva43:002TBrasil/RS17 - Gustavo Saibt Martins11 - Marcos dos Santos Camargo ..."
LOCALIZADOS ENTRE AS PLACAS DE PUBLICIDADE E A LINHA LATERAL DO CAMPO DE JOGO. A FUMAÇA LANÇADA CAIU NO,,,,
CAMPO DE JOGO E POR CONSEQUÊNCIA AS BOLAS FORAM MANCHADAS PELAS CORES DE FUMAÇA QUE FICARAM NO,,,,
GRAMADO.,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Atlético/PR,29 - Vinicius Goes Barbosa de  ...,10 - Marcos Guilherme de Almei ...
16:00,2T,Brasil/RS,18 - Nathan Athaydes Campos Fe ...,9 - Ramon Machado de Macedo
17:00,2T,Brasil/RS,21 - Welder da Silva Marcal,8 - Fernando da Silva Cardozo ...
17:00,2T,Atlético/PR,32 - Giovanny Bariani Marques,11 - Maycon Vinicius Ferreira  ...
42:00,2T,Atlético/PR,99 - Andre Luiz Barretto Silva ...,18 - Walter Henrique da Silva
43:00,2T,Brasil/RS,17 - Gustavo Saibt Martins,11 - Marcos dos Santos Camargo ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:RETIRADA DE ATLETAS PARA ATENDIMENTO E SUBSTITUIÇÕES.Observações EventuaisINFORMO QUE ANTES DO INICIO DA PARTIDA, NO MOMENTO DA ENTRADA DA EQUIPE MANDANTE, CITO GE BRASIL, FOILANÇADA FUMAÇA COLORIDA DE EXTINTORES POR PESSOAS IDENTIFICADAS COM A CAMISA DO CLUBE MANDANTELOCALIZADOS ENTRE AS PLACAS DE PUBLICIDADE E A LINHA LATERAL DO CAMPO DE JOGO. A FUMAÇA LANÇADA CAIU NOCAMPO DE JOGO E POR CONSEQUÊNCIA AS BOLAS FORAM MANCHADAS PELAS CORES DE FUMAÇA QUE FICARAM NOGRAMADO.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTAtlético/PR29 - Vinicius Goes Barbosa de  ...10 - Marcos Guilherme de Almei ...16:002TBrasil/RS18 - Nathan Athaydes Campos Fe ...9 - Ramon Machado de Macedo17:002TBrasil/RS21 - Welder da Silva Marcal8 - Fernando da Silva Cardozo ...17:002TAtlético/PR32 - Giovanny Bariani Marques11 - Maycon Vinicius Ferreira  ...42:002TAtlético/PR99 - Andre Luiz Barretto Silva ...18 - Walter Henrique da Silva43:002TBrasil/RS17 - Gustavo Saibt Martins11 - Marcos dos Santos Camargo ..."
Observações Eventuais
"INFORMO QUE ANTES DO INICIO DA PARTIDA, NO MOMENTO DA ENTRADA DA EQUIPE MANDANTE, CITO GE BRASIL, FOI"
LANÇADA FUMAÇA COLORIDA DE EXTINTORES POR PESSOAS IDENTIFICADAS COM A CAMISA DO CLUBE MANDANTE
LOCALIZADOS ENTRE AS PLACAS DE PUBLICIDADE E A LINHA LATERAL DO CAMPO DE JOGO. A FUMAÇA LANÇADA CAIU NO
CAMPO DE JOGO E POR CONSEQUÊNCIA AS BOLAS FORAM MANCHADAS PELAS CORES DE FUMAÇA QUE FICARAM NO
GRAMADO.
