"",,Arbitragem
Arbitro:,Bruno Rezende Silva (CBF-2 / GO),
Arbitro Assistente 1:,Jesmar Benedito Miranda de Paula (CBF-1 / GO),
Arbitro Assistente 2:,Adailton Fernando Menezes (CBF-2 / GO),
Quarto Arbitro:,Daniel Martins dos Santos (CBF-2 / MT),
Assessor:,Edilson Ramos da Mata (000 / MT),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,22:20Atraso:,,Não Houve Entrada do mandante: 23:29,Atraso:,,Não Houve
Entrada do visitante:,22:20Atraso:,,Não Houve Entrada do visitante: 23:30,Atraso:,,Não Houve
Início 1o Tempo:,22:30 Atraso:,,Não Houve Início do 2o Tempo: 23:31,Atraso:,,Não Houve
Término do 1o Tempo:,23:15 Acréscimo:,,Não Houve Término do 2o Tempo: 00:16,Acréscimo:,,Não Houve
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 3 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Luverdense / MT,,,Ceará / CE,,
No,Apelido,Nome Completo T/R P/A,,CBF No Apelido,Nome Completo T/R P/A,,CBF
1,Edson,Edson Kõlln,T P,311099 1 Tiago,Tiago Antonio Campagnaro T,P,136672
2,Diogo,Diogo da Silva Nasci ...,T P,291963 2 Buiu,Marcos Ytalo Benicio... T,P,366093
3,Montoia,Rodrigo Muttoni,T P,169816 3 Sandro,Sandro Silva de Souza T,P,172036
4,Everton,Everton Goncalves Sa ...,T P,183631 4 Charles,Charles Luis Reiter T,P,300886
5,Julio Terc ...,Julio David Terceiro,T P,151167 5 Andres,Andres Fernandes Gon... T,P,180842
6,Paulinho,Paulo Cesar Elias,T P,171807 6 Victor,Victor Luis Chuab Za... T,P,309431
7,Diego,Diego da Silva Rosa,T P,178005 7 Ricardo Co ...,Ricardo Renato de Co... T,P,162278
8,Michel,Michel Vendelino Sch ...,T P,178833 8 Ricardinho,Ricardo Dias Acosta T,P,169114
9,Ciro,Ciro Henrique Alves  ...,T P,178381 9 Rodrigo,Rodrigo Silva T,P,163063
10,Osman,Osman de Menezes Ven ...,T P,335599 10 Wescley,Wescley Gomes dos Santos T,P,297441
11,Alipio,Alipio Duarte Brandão,T P,387313 11 Fabinho,Fabio Souza dos Santos T,P,161253
12,Carlos Edu ...,Carlos Eduardo Lecci ...,R P,306773 12 Luis,Luis Carlos Dallastella R,P,168281
13,Raphael,Raphael David Thomaz,R P,295559 13 Fernandinho,Fernando Alves Santa... R,P,138800
14,Lazaro,Lazaro Vinicius Alve ...,R P,178881 14 Gilvan,Gilvan Souza Correa R,P,188660
15,Luiz,Luiz Philipe Lima de ...,R P,308883 15 Sandro,Sandro Manoel dos Santos R,P,172314
16,Rafa,Rafael Aparecido de  ...,R P,177093 16 Uillian,Uillian Correia Gran... R,P,180789
17,Adriano,Adriano da Matta Inacio,R P,186436 17 Roger,Roger Roberto dos Santos R,P,172933
18,Bruno,Bruno Cardoso Gonçal ...,R P,305973 18 Vinicius,Vinicius Santos Silva R,P,312048
19,Luiz Eduardo,Luiz Eduardo Azevedo ...,R P,162692 19 Siloe,Siloe Maciel Pereira R,P,291773
20,Tozim,Welliton de Moraes C ...,R P,162890,,,
"",,Comissão Técnica,
"",Luverdense / MT,,Ceará / CE
Tecnico:,Dilceu Rocha Junior - 1075240273/RS,Tecnico:,Anderson Luis Da Silva - 22972871-6
Auxiliar Tecnico:,Maico Grégori Farias - 4049148739/RS,Auxiliar Tecnico:,Fernando Seabra - 26559937-4
Medico:,Paulo Marques Junior - 7006/MT,Medico:,Joaquim Sampaio Garcia Filho - 11323-CE
Preparador Fisico:,Rafael Fabiano Rosseto Oliveira - 2188/MT,Preparador Fisico:,Alexandre Irineu Carvalho - 003861-G/GO
Massagista:,Antonio Francisco Da Silva - 20073720/MT,Massagista:,Anacleto Pires De Sousa - 510181- CE
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
13:00,1T,6,FT,Paulo Cesar Elias,,Luverdense/MT
14:00,2T,9,NR,Ciro Henrique Alves Ferreira E Silva,,Luverdense/MT
35:00,2T,16,NR,Rafael Aparecido de Paulo Tavares,,Luverdense/MT
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Foi respeitado 1 minuto de silêncio em respeito ao falecimento de Valed Perry.Acréscimo de 1 minuto no 1o tempo e 2 minutos no 2o tempo em virtude desubstituições e entrada da maca para retirada de atletas.Observações Eventuaisinformo que o sr. Edu Pascoski, Primeiro secretario da equipe da Luverdense Esporte Clube, esteve no vestiário destinado a arbitragemantes do jogo. O sr. Edu adentrou o vestiário a procura das bolas do jogo e desejou boa sorte a equipe de arbitragem.Durante a digitação da súmula não conseguimos colocar em seu lugar os acréscimos que houve durante o primeiro e o segundo tempo,tentamos contato com o suporte técnico sem êxito. Informo que houve um minuto de acréscimo no primeiro tempo de jogo devido aatendimento medico de jogadores e no segundo tempo houve acréscimo de dois minutos devidos a atendimento medico e substituições.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu38:001TCeará/CE15 - Sandro Manoel dos Santos9 - Rodrigo Silva11:002TLuverdense/MT16 - Rafael Aparecido de Paulo ...11 - Alipio Duarte Brandão14:002TCeará/CE17 - Roger Roberto dos Santos10 - Wescley Gomes dos Santos26:002TLuverdense/MT15 - Luiz Philipe Lima de Oliv ...8 - Michel Vendelino Schmolle ...35:002TLuverdense/MT18 - Bruno Cardoso Gonçalves S ...10 - Osman de Menezes Venancio ...35:002TCeará/CE18 - Vinicius Santos Silva11 - Fabio Souza dos Santos"
35:00,2T,Luverdense/MT,18 - Bruno Cardoso Gonçalves S ...,10 - Osman de Menezes Venancio ...
35:00,2T,Ceará/CE,18 - Vinicius Santos Silva,11 - Fabio Souza dos Santos
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Foi respeitado 1 minuto de silêncio em respeito ao falecimento de Valed Perry.Acréscimo de 1 minuto no 1o tempo e 2 minutos no 2o tempo em virtude desubstituições e entrada da maca para retirada de atletas.Observações Eventuaisinformo que o sr. Edu Pascoski, Primeiro secretario da equipe da Luverdense Esporte Clube, esteve no vestiário destinado a arbitragemantes do jogo. O sr. Edu adentrou o vestiário a procura das bolas do jogo e desejou boa sorte a equipe de arbitragem.Durante a digitação da súmula não conseguimos colocar em seu lugar os acréscimos que houve durante o primeiro e o segundo tempo,tentamos contato com o suporte técnico sem êxito. Informo que houve um minuto de acréscimo no primeiro tempo de jogo devido aatendimento medico de jogadores e no segundo tempo houve acréscimo de dois minutos devidos a atendimento medico e substituições.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu38:001TCeará/CE15 - Sandro Manoel dos Santos9 - Rodrigo Silva11:002TLuverdense/MT16 - Rafael Aparecido de Paulo ...11 - Alipio Duarte Brandão14:002TCeará/CE17 - Roger Roberto dos Santos10 - Wescley Gomes dos Santos26:002TLuverdense/MT15 - Luiz Philipe Lima de Oliv ...8 - Michel Vendelino Schmolle ...35:002TLuverdense/MT18 - Bruno Cardoso Gonçalves S ...10 - Osman de Menezes Venancio ...35:002TCeará/CE18 - Vinicius Santos Silva11 - Fabio Souza dos Santos"
Relatório do Assistente
Nada a relatar.
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Foi respeitado 1 minuto de silêncio em respeito ao falecimento de Valed Perry.Acréscimo de 1 minuto no 1o tempo e 2 minutos no 2o tempo em virtude desubstituições e entrada da maca para retirada de atletas.Observações Eventuaisinformo que o sr. Edu Pascoski, Primeiro secretario da equipe da Luverdense Esporte Clube, esteve no vestiário destinado a arbitragemantes do jogo. O sr. Edu adentrou o vestiário a procura das bolas do jogo e desejou boa sorte a equipe de arbitragem.Durante a digitação da súmula não conseguimos colocar em seu lugar os acréscimos que houve durante o primeiro e o segundo tempo,tentamos contato com o suporte técnico sem êxito. Informo que houve um minuto de acréscimo no primeiro tempo de jogo devido aatendimento medico de jogadores e no segundo tempo houve acréscimo de dois minutos devidos a atendimento medico e substituições.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu38:001TCeará/CE15 - Sandro Manoel dos Santos9 - Rodrigo Silva11:002TLuverdense/MT16 - Rafael Aparecido de Paulo ...11 - Alipio Duarte Brandão14:002TCeará/CE17 - Roger Roberto dos Santos10 - Wescley Gomes dos Santos26:002TLuverdense/MT15 - Luiz Philipe Lima de Oliv ...8 - Michel Vendelino Schmolle ...35:002TLuverdense/MT18 - Bruno Cardoso Gonçalves S ...10 - Osman de Menezes Venancio ...35:002TCeará/CE18 - Vinicius Santos Silva11 - Fabio Souza dos Santos"
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
Foi respeitado 1 minuto de silêncio em respeito ao falecimento de Valed Perry.Acréscimo de 1 minuto no 1o tempo e 2 minutos no 2o tempo em virtude de
substituições e entrada da maca para retirada de atletas.
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Foi respeitado 1 minuto de silêncio em respeito ao falecimento de Valed Perry.Acréscimo de 1 minuto no 1o tempo e 2 minutos no 2o tempo em virtude desubstituições e entrada da maca para retirada de atletas.Observações Eventuaisinformo que o sr. Edu Pascoski, Primeiro secretario da equipe da Luverdense Esporte Clube, esteve no vestiário destinado a arbitragemantes do jogo. O sr. Edu adentrou o vestiário a procura das bolas do jogo e desejou boa sorte a equipe de arbitragem.Durante a digitação da súmula não conseguimos colocar em seu lugar os acréscimos que houve durante o primeiro e o segundo tempo,tentamos contato com o suporte técnico sem êxito. Informo que houve um minuto de acréscimo no primeiro tempo de jogo devido aatendimento medico de jogadores e no segundo tempo houve acréscimo de dois minutos devidos a atendimento medico e substituições.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu38:001TCeará/CE15 - Sandro Manoel dos Santos9 - Rodrigo Silva11:002TLuverdense/MT16 - Rafael Aparecido de Paulo ...11 - Alipio Duarte Brandão14:002TCeará/CE17 - Roger Roberto dos Santos10 - Wescley Gomes dos Santos26:002TLuverdense/MT15 - Luiz Philipe Lima de Oliv ...8 - Michel Vendelino Schmolle ...35:002TLuverdense/MT18 - Bruno Cardoso Gonçalves S ...10 - Osman de Menezes Venancio ...35:002TCeará/CE18 - Vinicius Santos Silva11 - Fabio Souza dos Santos"
Ocorrências / Observações
Nada houve de anormal
